Station_name,Latitude,Longitude,Year,heat_event_group,Start_date,End_date,Duration,Intensity,Frequency,geometry
INYOKERN KERN CO,35.6667,-117.8333,2004,3024,2004-01-13,2004-01-14,2,0.7000000000000028,8,POINT (-117.8333 35.6667)
INYOKERN KERN CO,35.6667,-117.8333,2004,3025,2004-01-29,2004-01-30,2,0.7000000000000028,8,POINT (-117.8333 35.6667)
INYOKERN KERN CO,35.6667,-117.8333,2004,3026,2004-03-06,2004-03-09,4,0.7000000000000028,8,POINT (-117.8333 35.6667)
INYOKERN KERN CO,35.6667,-117.8333,2004,3027,2004-03-19,2004-03-21,3,0.7000000000000028,8,POINT (-117.8333 35.6667)
INYOKERN KERN CO,35.6667,-117.8333,2004,3028,2004-04-25,2004-04-27,3,1.4000000000000057,8,POINT (-117.8333 35.6667)
INYOKERN KERN CO,35.6667,-117.8333,2004,3029,2004-05-30,2004-05-31,2,0.7000000000000028,8,POINT (-117.8333 35.6667)
INYOKERN KERN CO,35.6667,-117.8333,2004,3030,2004-06-02,2004-06-03,2,0.7000000000000028,8,POINT (-117.8333 35.6667)
LIVERMORE MUNI AP,37.6931,-121.815,2004,3198,2004-01-08,2004-01-09,2,1.5400000000000027,6,POINT (-121.815 37.6931)
LIVERMORE MUNI AP,37.6931,-121.815,2004,3199,2004-02-05,2004-02-06,2,0.3500000000000014,6,POINT (-121.815 37.6931)
LIVERMORE MUNI AP,37.6931,-121.815,2004,3200,2004-03-06,2004-03-07,2,2.7300000000000075,6,POINT (-121.815 37.6931)
LIVERMORE MUNI AP,37.6931,-121.815,2004,3201,2004-04-09,2004-04-10,2,1.120000000000001,6,POINT (-121.815 37.6931)
LIVERMORE MUNI AP,37.6931,-121.815,2004,3202,2004-04-25,2004-04-26,2,1.9600000000000009,6,POINT (-121.815 37.6931)
LIVERMORE MUNI AP,37.6931,-121.815,2004,3203,2004-10-12,2004-10-13,2,0.769999999999996,6,POINT (-121.815 37.6931)
LOMPOC AP,34.6667,-120.4667,2004,3349,2004-02-11,2004-02-12,2,1.4000000000000021,6,POINT (-120.4667 34.6667)
LOMPOC AP,34.6667,-120.4667,2004,3350,2004-03-06,2004-03-08,3,1.3300000000000018,6,POINT (-120.4667 34.6667)
LOMPOC AP,34.6667,-120.4667,2004,3351,2004-04-22,2004-04-23,2,0.7000000000000028,6,POINT (-120.4667 34.6667)
LOMPOC AP,34.6667,-120.4667,2004,3352,2004-04-26,2004-04-27,2,2.8000000000000043,6,POINT (-120.4667 34.6667)
LOMPOC AP,34.6667,-120.4667,2004,3353,2004-05-30,2004-05-31,2,0.3500000000000014,6,POINT (-120.4667 34.6667)
LOMPOC AP,34.6667,-120.4667,2004,3354,2004-09-04,2004-09-05,2,4.900000000000006,6,POINT (-120.4667 34.6667)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3480,2004-01-07,2004-01-08,2,1.4700000000000024,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3481,2004-02-09,2004-02-10,2,0.5600000000000005,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3482,2004-03-06,2004-03-08,3,1.3300000000000018,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3483,2004-04-23,2004-04-26,4,2.100000000000005,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3484,2004-05-30,2004-05-31,2,0.7699999999999996,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3485,2004-07-04,2004-07-05,2,0.8400000000000034,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3486,2004-08-27,2004-08-28,2,0.8399999999999999,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3487,2004-10-12,2004-10-13,2,0.21000000000000085,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3488,2004-10-31,2004-11-02,3,0.28000000000000114,10,POINT (-118.0519 33.79)
LOS ALAMITOS AAF,33.79,-118.0519,2004,3489,2004-12-09,2004-12-10,2,0.7699999999999996,10,POINT (-118.0519 33.79)
LOS ANGELES DOWNTOWN/USC,34.0236,-118.2911,2004,3652,2004-01-07,2004-01-08,2,1.6800000000000033,10,POINT (-118.2911 34.0236)
LOS ANGELES DOWNTOWN/USC,34.0236,-118.2911,2004,3653,2004-03-07,2004-03-08,2,1.4700000000000024,10,POINT (-118.2911 34.0236)
LOS ANGELES DOWNTOWN/USC,34.0236,-118.2911,2004,3654,2004-03-28,2004-03-29,2,1.6800000000000033,10,POINT (-118.2911 34.0236)
LOS ANGELES DOWNTOWN/USC,34.0236,-118.2911,2004,3655,2004-04-25,2004-04-27,3,0.980000000000004,10,POINT (-118.2911 34.0236)
LOS ANGELES DOWNTOWN/USC,34.0236,-118.2911,2004,3656,2004-05-30,2004-05-31,2,1.3300000000000018,10,POINT (-118.2911 34.0236)
LOS ANGELES DOWNTOWN/USC,34.0236,-118.2911,2004,3657,2004-06-25,2004-06-26,2,0.14000000000000057,10,POINT (-118.2911 34.0236)
LOS ANGELES DOWNTOWN/USC,34.0236,-118.2911,2004,3658,2004-07-11,2004-07-13,3,1.5400000000000027,10,POINT (-118.2911 34.0236)
