Station_ID,Index,Original_Temperature,Filled_Temperature
USW00024213,191872,nan,8.9
USW00024213,191874,nan,7.2
USW00024213,191895,nan,9.7
USW00024213,191958,nan,8.850000000000001
USW00024213,191965,nan,9.15
USW00024213,191972,nan,9.7
USW00024213,191974,nan,9.15
USW00024213,192101,nan,14.45
USW00024213,192127,nan,14.75
USW00024213,192187,nan,12.8
USW00024213,192219,nan,12.2
USW00024213,192348,nan,12.75
USW00024213,192350,nan,12.75
USW00024213,192380,nan,12.75
USW00024213,192393,nan,11.95
USW00024213,192447,nan,16.1
USW00024213,192507,nan,13.6
USW00024213,192528,nan,10.85
USW00024213,192547,nan,13.3
USW00024213,192556,nan,13.600000000000001
USW00024213,192601,nan,15.0
USW00024213,192631,nan,11.649999999999999
USW00024213,192651,nan,12.2
USW00024213,192700,nan,12.5
USW00024213,192760,nan,15.6
USW00024213,192802,nan,12.8
USW00024213,192812,nan,15.55
USW00024213,192839,nan,11.1
USW00024213,192844,nan,12.8
USW00024213,192852,nan,13.350000000000001
USW00024213,192872,nan,13.600000000000001
USW00024213,192885,nan,13.05
USW00024213,192949,nan,11.399999999999999
USW00024213,192955,nan,10.55
USW00024213,192989,nan,11.95
USW00024213,192991,nan,14.45
USW00024213,192993,nan,15.0
USW00024213,193013,nan,13.850000000000001
USW00024213,193029,nan,10.55
USW00024213,193110,nan,8.35
USW00024213,193117,nan,9.15
USW00024213,193138,nan,8.6
USW00024213,193153,nan,9.7
USW00024213,193157,nan,10.0
USW00024213,193175,nan,9.15
USW00024213,193201,nan,10.3
USW00024213,193203,nan,10.3
USW00024213,193221,nan,6.65
USW00024213,193226,nan,4.199999999999999
USW00024213,193269,nan,9.15
USW00024213,193275,nan,12.2
USW00024213,193279,nan,13.05
USW00024213,193307,nan,10.85
USW00024213,193319,nan,5.85
USW00024213,193386,nan,4.45
USW00024213,193388,nan,3.9
USW00024215,197056,nan,22.5
USW00024215,201584,nan,10.3
USW00024215,202037,nan,3.05
USW00024216,206810,nan,19.15
USW00024257,220683,nan,26.65
USW00024257,223816,nan,15.55
USW00024257,223851,nan,12.25
USW00024259,226643,nan,-2.5
USW00024259,226739,nan,-4.15
USW00024283,240884,nan,14.15
USW00024283,241674,nan,15.85
USW00024283,244230,nan,12.8
USW00024286,247515,nan,11.7
USW00024286,247595,nan,10.25
USW00024286,249193,nan,10.85
USW00053119,261384,nan,24.2
USW00053119,263361,nan,24.700000000000003
USW00053120,269957,nan,8.95
USW00053120,275270,nan,19.450000000000003
USW00053120,275725,nan,15.850000000000001
USW00053120,276829,nan,11.1
USW00053121,282944,nan,17.8
USW00053121,283121,nan,15.0
USW00053121,284057,nan,20.0
USW00053121,284121,nan,22.799999999999997
USW00053130,290210,nan,21.0
USW00053130,290614,nan,25.5
USW00053130,291322,nan,32.5
USW00053130,292554,nan,25.5
USW00053139,293071,nan,15.1
USW00053139,293264,nan,13.05
USW00053139,293475,nan,9.25
USW00053139,293687,nan,8.399999999999999
USW00053139,293893,nan,10.9
USW00053139,294121,nan,11.55
USW00053139,294335,nan,11.1
USW00053139,294556,nan,7.8
USW00053139,294780,nan,9.4
USW00053139,295005,nan,12.15
USW00053139,295219,nan,10.100000000000001
USW00053139,295440,nan,9.25
USW00053139,295632,nan,8.95
USW00053139,295846,nan,11.35
USW00053139,296064,nan,10.05
USW00053139,296295,nan,15.95
USW00053139,296536,nan,18.5
USW00053139,296757,nan,14.899999999999999
USW00053139,296970,nan,16.75
USW00053139,297151,nan,16.549999999999997
USW00053139,297351,nan,12.649999999999999
USW00053139,297557,nan,12.600000000000001
USW00053139,297768,nan,12.45
USW00053139,297957,nan,10.45
USW00053139,298152,nan,11.1
USW00053139,298314,nan,7.0
USW00053139,298481,nan,9.6
USW00053139,298629,nan,8.55
USW00053139,298826,nan,16.5
USW00053139,299010,nan,10.9
USW00053139,299201,nan,10.45
USW00053139,299401,nan,13.95
USW00053139,299608,nan,13.850000000000001
USW00053139,299824,nan,14.45
USW00053139,300043,nan,16.6
USW00053139,300232,nan,15.7
USW00053139,300463,nan,13.6
USW00053139,300680,nan,12.899999999999999
USW00053139,300904,nan,13.2
USW00053139,301104,nan,14.25
USW00053139,301296,nan,16.35
USW00053139,301513,nan,17.450000000000003
USW00053139,301717,nan,16.299999999999997
USW00053139,301944,nan,15.25
USW00053139,302144,nan,15.6
USW00053139,302339,nan,14.350000000000001
USW00053139,302542,nan,14.05
USW00053139,302760,nan,16.75
USW00053139,302953,nan,13.7
USW00053139,303149,nan,11.149999999999999
USW00053139,303369,nan,12.0
USW00053139,303562,nan,15.4
USW00053139,303764,nan,15.75
USW00053139,303988,nan,15.45
USW00053139,304220,nan,17.6
USW00053139,304437,nan,13.25
USW00053139,304619,nan,11.45
USW00053139,304832,nan,17.6
USW00053139,305031,nan,13.45
USW00053139,305231,nan,12.45
USW00053139,305444,nan,13.45
USW00053139,305666,nan,15.2
USW00053139,305865,nan,13.850000000000001
USW00053139,306079,nan,15.45
USW00053139,306293,nan,18.55
USW00053139,306506,nan,18.65
USW00053139,306702,nan,16.65
USW00053139,306906,nan,16.35
USW00053139,307107,nan,12.899999999999999
USW00053139,307307,nan,11.850000000000001
USW00053139,307503,nan,9.65
USW00053139,307680,nan,10.4
USW00053139,307891,nan,14.2
USW00053139,308091,nan,15.8
USW00053139,308299,nan,10.9
USW00053139,308488,nan,14.3
USW00053139,308675,nan,18.45
USW00053139,308877,nan,19.0
USW00053139,309084,nan,25.6
USW00053139,309285,nan,17.95
USW00053139,309454,nan,18.35
USW00053139,309651,nan,19.7
USW00053139,309806,nan,15.649999999999999
USW00053139,310191,nan,20.65
USW00053139,316124,nan,31.549999999999997
USW00053139,316332,nan,31.299999999999997
USW00053139,316532,nan,31.95
USW00053139,316747,nan,32.05
USW00053139,316974,nan,36.5
USW00053139,317197,nan,36.55
USW00053139,317411,nan,35.6
USW00053139,317638,nan,38.650000000000006
USW00053139,317842,nan,40.7
USW00053139,318066,nan,38.95
USW00053139,318282,nan,35.150000000000006
USW00053139,318488,nan,34.3
USW00053139,318697,nan,30.0
USW00053139,318913,nan,30.4
USW00053139,319117,nan,27.75
USW00053139,319324,nan,27.0
USW00053139,319533,nan,30.299999999999997
USW00053139,319748,nan,35.65
USW00053139,319969,nan,35.650000000000006
USW00053139,320180,nan,38.35
USW00053139,320405,nan,40.9
USW00053139,320615,nan,42.2
USW00053139,320824,nan,43.400000000000006
USW00053139,321006,nan,41.05
USW00053139,321202,nan,44.55
USW00053139,321418,nan,40.35
USW00053139,321629,nan,39.150000000000006
USW00053139,321835,nan,38.15
USW00053139,322024,nan,33.0
USW00053139,322217,nan,34.85
USW00053139,322423,nan,35.7
USW00053139,322642,nan,40.7
USW00053139,322842,nan,41.7
USW00053139,323033,nan,44.1
USW00053139,323245,nan,35.55
USW00053139,323436,nan,36.75
USW00053139,323629,nan,36.400000000000006
USW00053139,323843,nan,40.0
USW00053139,324053,nan,36.25
USW00053139,324249,nan,37.75
USW00053139,324456,nan,39.4
USW00053139,324667,nan,43.35
USW00053139,324889,nan,43.45
USW00053139,325090,nan,42.15
USW00053139,325295,nan,45.75
USW00053139,325507,nan,47.2
USW00053139,325716,nan,44.4
USW00053139,325919,nan,43.05
USW00053139,326126,nan,41.25
USW00053139,326319,nan,40.0
USW00053139,326518,nan,39.0
USW00053139,326721,nan,39.45
USW00053139,326912,nan,38.900000000000006
USW00053139,327108,nan,37.05
USW00053139,327314,nan,35.150000000000006
USW00053139,327491,nan,41.6
USW00053139,327666,nan,38.25
USW00053139,327817,nan,39.2
USW00053139,328009,nan,39.2
USW00053139,328202,nan,40.0
USW00053139,328388,nan,38.650000000000006
USW00053139,328571,nan,30.65
USW00053139,328759,nan,36.75
USW00053139,328953,nan,38.599999999999994
USW00053139,329136,nan,35.65
USW00053139,329310,nan,31.05
USW00053139,329488,nan,33.1
USW00053139,329671,nan,37.650000000000006
USW00053139,329879,nan,38.349999999999994
USW00053139,330091,nan,37.9
USW00053139,330308,nan,43.85
USW00053139,330521,nan,39.25
USW00053139,330731,nan,35.349999999999994
USW00053139,330937,nan,35.599999999999994
USW00053139,331153,nan,36.7
USW00053139,331356,nan,38.25
USW00053139,331571,nan,38.7
USW00053139,331776,nan,38.7
USW00053139,331988,nan,37.85
USW00053139,332188,nan,41.0
USW00053139,332392,nan,40.650000000000006
USW00053139,332598,nan,41.6
USW00053139,332810,nan,39.75
USW00053139,333020,nan,36.85
USW00053139,333212,nan,32.9
USW00053139,333414,nan,29.9
USW00053139,333608,nan,32.650000000000006
USW00053139,333809,nan,34.400000000000006
USW00053139,334010,nan,34.15
USW00053139,334210,nan,33.95
USW00053139,334430,nan,34.55
USW00053139,334641,nan,36.5
USW00053139,334852,nan,34.3
USW00053139,335083,nan,35.5
USW00053139,335296,nan,36.25
USW00053139,335514,nan,39.1
USW00053139,335713,nan,40.05
USW00053139,335906,nan,36.85
USW00053139,336100,nan,33.099999999999994
USW00053139,336298,nan,33.2
USW00053139,336509,nan,32.4
USW00053139,336727,nan,34.0
USW00053139,336949,nan,33.6
USW00053139,337167,nan,37.0
USW00053139,337381,nan,38.25
USW00053139,337583,nan,36.95
USW00053139,337780,nan,36.25
USW00053139,337985,nan,39.650000000000006
USW00053139,338174,nan,36.9
USW00053139,338377,nan,33.15
USW00053139,338577,nan,32.75
USW00053139,338790,nan,33.75
USW00053139,339005,nan,33.0
USW00053139,339203,nan,31.2
USW00053139,339413,nan,33.95
USW00053139,339623,nan,30.450000000000003
USW00053139,339810,nan,31.65
USW00053139,340011,nan,31.700000000000003
USW00053139,340248,nan,28.45
USW00053139,340451,nan,30.6
USW00053139,340674,nan,30.95
USW00053139,340888,nan,29.2
USW00053139,341106,nan,31.65
USW00053139,341300,nan,31.549999999999997
USW00053139,341484,nan,29.200000000000003
USW00053139,341668,nan,28.0
USW00053139,341854,nan,27.45
USW00053139,342065,nan,24.0
USW00053139,342277,nan,24.6
USW00053139,342495,nan,25.200000000000003
USW00053139,342717,nan,27.75
USW00053139,342924,nan,29.049999999999997
USW00053139,343127,nan,26.1
USW00053139,343341,nan,25.8
USW00053139,343545,nan,26.9
USW00053139,343751,nan,21.85
USW00053139,343955,nan,25.35
USW00053139,344145,nan,21.35
USW00053139,344343,nan,16.75
USW00053139,344526,nan,18.15
USW00053139,344729,nan,16.549999999999997
USW00053139,344942,nan,23.15
USW00053139,345145,nan,18.2
USW00053139,345369,nan,21.8
USW00053139,345567,nan,26.5
USW00053139,345751,nan,19.85
USW00053139,345956,nan,19.4
USW00053139,346147,nan,19.9
USW00053139,346354,nan,20.05
USW00053139,346570,nan,24.1
USW00053139,346756,nan,22.0
USW00053139,346942,nan,23.0
USW00053139,347148,nan,15.25
USW00053139,347358,nan,18.85
USW00053139,347575,nan,20.8
USW00053139,347802,nan,24.65
USW00053139,348026,nan,22.3
USW00053139,348226,nan,21.95
USW00053139,348419,nan,22.55
USW00053139,348603,nan,21.0
USW00053139,348819,nan,19.799999999999997
USW00053139,349029,nan,20.85
USW00053139,349248,nan,20.1
USW00053139,349460,nan,19.65
USW00053139,349678,nan,20.450000000000003
USW00053139,349883,nan,22.65
USW00053139,350074,nan,20.6
USW00053139,350279,nan,20.049999999999997
USW00053139,350498,nan,22.1
USW00053139,350724,nan,21.75
USW00053139,350935,nan,22.3
USW00053139,351169,nan,21.15
USW00053139,351395,nan,19.95
USW00053139,351605,nan,19.25
USW00053139,351831,nan,16.15
USW00053139,352036,nan,18.55
USW00053139,352239,nan,18.5
USW00053139,352448,nan,17.1
USW00053139,352668,nan,22.5
USW00053139,352876,nan,17.4
USW00053139,353091,nan,15.9
USW00053139,353310,nan,18.200000000000003
USW00053139,353513,nan,15.55
USW00053139,353715,nan,12.75
USW00053139,353941,nan,10.350000000000001
USW00053139,354156,nan,13.45
USW00053139,354372,nan,14.35
USW00053139,354586,nan,14.25
USW00053139,354812,nan,16.6
USW00053139,355043,nan,18.299999999999997
USW00053139,355266,nan,16.9
USW00053139,355482,nan,14.8
USW00053139,355692,nan,14.5
USW00053139,355928,nan,12.55
USW00053139,356149,nan,16.35
USW00053139,356333,nan,14.399999999999999
USW00053139,356529,nan,13.7
USW00053139,356738,nan,11.05
USW00053139,356945,nan,8.75
USW00053139,357146,nan,8.1
USW00053139,357349,nan,6.95
USW00053139,357562,nan,12.7
USW00053139,357747,nan,6.199999999999999
USW00053139,357916,nan,6.699999999999999
USW00053139,358101,nan,8.45
USW00053139,358305,nan,9.3
USW00053139,358517,nan,7.550000000000001
USW00053139,358721,nan,7.05
USW00053139,358926,nan,7.199999999999999
USW00053139,359129,nan,7.55
USW00053139,359327,nan,8.3
